ItemID,ItemName,Type,SellPrice,sprite,image index,Max stack,Level,Rarity,Description
string,string,int,real,asset,real,real,real,real,string
red_dust,Red dust,2,1,spr_red,0,32,1,100,"Collected under a sleeping red dragon. Can be used when brewing potions of healing."
purple_sand,Purple sand,2,2,spr_purple,0,16,1,80,Blown by magic winds from the stars.
slime_drop,Slime drop,2,4,spr_green,0,16,2,60,Collected near a bedrock of some sort.
ear_wax,Ear wax,2,8,spr_yellow,0,8,3,50,You don't want to know where it has been collected.
teardrop,Teardrop,3,500,spr_blue,0,2,10,20,Has been collected on a sad unicorn.
milk,Milk,0,1548,spr_white,0,1,20,10,Add some coffee to make it tastier.
ink,Ink,2,66,spr_black,0,4,6,11,"This is the most powerfull drop ever created. It has a long description to show you the place you have in the description box! So long that I can write another line, and another one, and another one."
dagger,Dagger,1,10,spr_sword,0,1,1,1,A short sword. Simple and effective, handcrafted.
sword,Sword,1,15,spr_sword,1,1,2,2,Handcrafted item.Sharp and swift.
icy_swird,Icy Sword,1,20,spr_sword,2,1,3,3,Frozen and magical sword.
flaming_sword,Flaming Sword,1,25,spr_sword,3,1,4,4,Sharp and burning like hell.
healing_potion,Healing Potion,0,100,spr_potion,0,8,5,10,Fresh brewed potion.
speed_potion,Speed Potion,0,200,spr_potion,1,8,6,11,Fresh brewed potion.
strength_potion,Strength Potion,0,235,spr_potion,2,8,7,12,Fresh brewed potion.
potion_of_wind,Potion of Wind,0,500,spr_potion,3,8,8,13,Fresh brewed potion.
gold_coin,Gold Coin,3,1,spr_gold,0,100,1,1,Made from gold.
hand_axe,Hand Axe,1,12,spr_axe,0,1,1,2,An axe made for woodsman. Can cut any tree.
battle_axe,Battle Axe,1,25,spr_axe,1,1,2,10,Built for real warrior. Can cut an ork in two in one blow!
icy_axe,Icy Axe,1,100,spr_axe,2,1,5,3,"Crafted in the northen land of Izzmur. It's cold as ice, ready to sacrifice."
fire_axe,Fire Axe,1,150,spr_axe,3,1,3,5,Come on baby light my fire! Sharp on the edge and burns like hell.
wooden_shield,Wooden Shield,1,10,spr_shield,0,1,1,1,"Custom shield made from wood. Hand painted. Uses one hand. Can't use ranged weapons while holding it."
metal_shield,Metal Shield,1,10,spr_shield,1,1,1,2,"Shield forged with metal.Uses one hand. Can't use ranged weapons while holding it."
heaven_shield,Heaven Shield,1,100,spr_shield,2,1,5,5,"A blessed tower shield. Uses one hand. Can't use ranged weapons while holding it."
death_shield,Death Shield,1,100,spr_shield,3,1,5,5,"A strong shield forged in hell. Uses one hand. Can't use ranged weapons while holding it."
leather_armor,Leather armor,1,10,spr_armor,0,1,1,1,A light and comfortable armor that gives you enough protection against smaller weapons.
chain_mail,Chain Mail,1,20,spr_armor,1,1,2,2,A comfortable armor made from small metal rings. Great protection against sword and arrows.
icy_plate,Icy Plate,1,100,spr_armor,2,1,5,10,This full armor gives you all the protection you need to go in hell. +10 against Flaming Sword.
obsidian_plate,Obsidian Plate,1,100,spr_armor,3,1,5,10,This armor protects you against all type of attack but its so heavy that you can't walk or run.
shovel,Shovel,1,5,spr_shovel,0,1,1,1,A simple shovel.
